B.cells,CD8.T.cells,Treg.cells,Th1.cells,Th2.cells,Tfh.cells,Tm.cells,CD56dim.NK.cells,CD56bright.NK.cells,Macrophages,Neutrophils,Mast.cells,Dendritic.cells
FCRL2,ZFP36L2,FOXP3,IL12RB2,CXCR6,PDCD1,TRAF3IP3,SH2D2A,DUSP4,COL8A2,CSF3R,TAL1,ADAMTSL4
FCRL1,CD8A,NA,CTLA4,ADCY1,CXCL13,CCR2,CD244,NA,CTSK,PDE4B,GATA2,NPR1
FAM177B,CD8B,NA,APOD,GATA3,ICA1,TXK,GNLY,NA,CD84,S100A12,CPA3,HSD11B1
IGKC,KLF9,NA,CD38,PTGIS,HEY1,INPP4B,B3GNT7,NA,CHI3L1,C1orf204,KIT,BCL2L11
MEF2C,ZEB1,NA,HBEGF,NA,MYO7A,FYB,NMUR1,NA,CHIT1,FCGR3B,HPGDS,LY75
HLA-DQA1,PRF1,NA,DGKI,NA,ST8SIA1,FLI1,COLQ,NA,MARCO,DYSF,MS4A2,RFTN1
BLK,TMC6,NA,SYNGR3,NA,TSHR,DOCK9,CX3CR1,NA,JAKMIP2,BCL6,CTSG,CISH
CD72,GZMM,NA,CCL4,NA,SIRPG,NFATC4,CHST2,NA,GPNMB,HPSE,HDC,CD80
BLNK,TSC22D3,NA,EGFL6,NA,NA,MEFV,PRF1,NA,CLEC5A,TLR2,TPSB2,CD86
MS4A1,NA,NA,NA,NA,NA,PRKY,ASCL2,NA,MSR1,LCP2,TPSAB1,LAMP3
IGHA1,NA,NA,NA,NA,NA,USP9Y,PDGFD,NA,MS4A4A,IFNGR1,ADCYAP1,ANTXR2
IGHG1,NA,NA,NA,NA,NA,TXLNGY,KLRB1,NA,LINC00900,TNFAIP3,SLC24A3,SYNPO2
IGHD,NA,NA,NA,NA,NA,NA,KLRF1,NA,KCNJ5,SLC25A37,NA,ST8SIA4
IGHM,NA,NA,NA,NA,NA,NA,KLRD1,NA,CD163,C9orf72,NA,IRF4
KIAA0125,NA,NA,NA,NA,NA,NA,TRDC,NA,EMP1,NAMPTP1,NA,SAMD9L
IGHV4-34,NA,NA,NA,NA,NA,NA,GZMB,NA,BCAT1,C10orf105,NA,ENPP2
TNFRSF17,NA,NA,NA,NA,NA,NA,PTGDR,NA,RGCC,ITPRIP,NA,PDCD1LG2
CD19,NA,NA,NA,NA,NA,NA,IL21R,NA,COLEC12,NLRP6,NA,NR4A3
GNG7,NA,NA,NA,NA,NA,NA,TBX21,NA,APOE,TNNT3,NA,WDFY4
NA,NA,NA,NA,NA,NA,NA,GNGT2,NA,CECR1,IRAK3,NA,TMPRSS13
NA,NA,NA,NA,NA,NA,NA,ABI3,NA,CYBB,TMCC3,NA,N4BP2L1
NA,NA,NA,NA,NA,NA,NA,CD7,NA,NA,IGF1,NA,TNFSF13B
NA,NA,NA,NA,NA,NA,NA,NKG7,NA,NA,RILPL2,NA,SYNGR3
NA,NA,NA,NA,NA,NA,NA,CST7,NA,NA,NFKBIA,NA,SYT17
NA,NA,NA,NA,NA,NA,NA,IL2RB,NA,NA,BCL2A1,NA,IL21R
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRISPLD2,NA,CCL22
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FPR1,NA,CCL13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LILRB2,NA,TTYH2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CD93,NA,CD209
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETS2,NA,PTGIR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CYTH4,NA,CSF2RA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHST7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLIC2
