T.cells,B.cells,NK.cells,mDC.cells,Macrophages.Neutrophils,CD8.T.cells,CD4.T.cells,Macrophages,Neutrophils
FITC-A<CD3>,450/50 (325)-A<CD19>,BV650-A<NK1-1>,BV711-A<CD11c>,SSC-A<NA>,BV510-A<CD8>,BV785-A<CD4>,PE-A<F4/80>,BV785-A<CD4>
BV421-A<CD5>,low_APC-A<CD43>,NA,NA,FSC-A<NA>,NA,NA,Alexa Fluor 700-A<CD45R>,NA
